,noise_case,paramid,parameter,parameter_value,split,n_train,interp_type,ncomp,gp_noise,gp_length,gp_const,dl_alpha,rmse,maxerr,global_mean_minerr,global_mean_maxerr,global_mean_rmse,global_max_rmse,global_var_rmse
145,theo,,,,1,71,GP,25,0.001,1.0,10.0,,,,7.771561172376095e-17,0.07379670262740637,0.04013319674804478,0.3364768550380743,0.0034401707028815344
146,theo,,,,1,71,GP,25,0.1,1.0,10.0,,,,4.810966440042345e-17,0.077348456971467,0.04237620175240225,0.37351784242793445,0.0042616077468068695
147,theo,,,,1,71,GP,25,1e-05,4.0,10.0,,,,3.3306690738754695e-17,0.07379674822942638,0.04013318776381185,0.33647664954665896,0.003440166651834989
148,theo,,,,1,71,GP,25,0.001,4.0,10.0,,,,4.810966440042345e-17,0.0737966869892403,0.04013316637923615,0.3364764021164969,0.003440161105931383
149,theo,,,,1,71,GP,25,0.1,4.0,10.0,,,,8.511709855459534e-17,0.07734841471754327,0.04237621246045491,0.37351847264924354,0.004261621239988789
150,theo,,,,1,71,GP,25,1e-05,7.0,10.0,,,,4.070817756958907e-17,0.07533891908070574,0.04107106443275369,0.34650563380959565,0.0036729200366927782
151,theo,,,,1,71,GP,25,0.001,7.0,10.0,,,,7.031412489292658e-17,0.07533892937233493,0.041071093107620055,0.3465049373908646,0.0036729094214986552
152,theo,,,,1,71,GP,25,0.1,7.0,10.0,,,,7.401486830834377e-17,0.0773484332073374,0.042376221865598834,0.3735180136650945,0.004261612251424736
153,theo,,,,1,71,GP,25,1e-05,10.0,10.0,,,,8.511709855459534e-17,0.07379672784826548,0.04013318177149996,0.3364766792364331,0.003440166792279401
154,theo,,,,1,71,GP,25,0.001,10.0,10.0,,,,7.401486830834377e-17,0.07379667373508342,0.04013316807805538,0.336476426056521,0.0034401615788104798
155,theo,,,,1,71,GP,25,0.1,10.0,10.0,,,,7.401486830834377e-17,0.07734852878685675,0.0423762791443054,0.37351885909094457,0.004261632632978455
156,theo,,,,1,71,GP,26,1e-05,1.0,10.0,,,,8.881784197001253e-17,0.0753096999960585,0.04107022251513152,0.3464918568900059,0.0036726237478038634
157,theo,,,,1,71,GP,26,0.001,1.0,10.0,,,,5.551115123125783e-17,0.0753098371340388,0.041070204225332925,0.34649150069823964,0.0036726162488144617
158,theo,,,,1,71,GP,26,0.1,1.0,10.0,,,,4.4408920985006264e-17,0.07829318457082332,0.0429956174445145,0.38362582566015135,0.004503451022437562
159,theo,,,,1,71,GP,26,1e-05,4.0,10.0,,,,6.661338147750939e-17,0.07376825238234457,0.04013329080175682,0.33647852220692637,0.0034402079885647485
160,theo,,,,1,71,GP,26,0.001,4.0,10.0,,,,3.700743415417188e-17,0.07376827376656453,0.040133316103509106,0.3364787800309017,0.0034402139356820845
161,theo,,,,1,71,GP,26,0.1,4.0,10.0,,,,2.960594732333751e-17,0.07829321755614417,0.04299565905301398,0.3836263358360348,0.004503463961768564
162,theo,,,,1,71,GP,26,1e-05,7.0,10.0,,,,2.2204460492503132e-17,0.07531135603648108,0.04107114819402185,0.3465062434883315,0.0036729392998092114
163,theo,,,,1,71,GP,26,0.001,7.0,10.0,,,,2.2204460492503132e-17,0.07531141916671083,0.04107116445374811,0.3465066856973298,0.0036729482149748193
164,theo,,,,1,71,GP,26,0.1,7.0,10.0,,,,2.2204460492503132e-17,0.0794899016038985,0.04371387538844476,0.39134960709854866,0.004707163207524934
165,theo,,,,1,71,GP,26,1e-05,10.0,10.0,,,,4.070817756958907e-17,0.0753115126793805,0.04107121188408556,0.34650712385580157,0.0036729589285667817
166,theo,,,,1,71,GP,26,0.001,10.0,10.0,,,,2.590520390792032e-17,0.07531139855360496,0.04107113154978944,0.3465065040067893,0.0036729429132569616
